Context,CreatedAt,Dataset,SubDataset,Algorithm,AnomalyThreshold,TN,FP,FN,TP,Accuracy,Precision,Recall,F1-score,F2-score
RF_Single_Train-WithRatioAfterCorr,1748367965.8123536,ctu,scenario7,Autoencoder,0.1,22693,111,13,0,0.9945654555813648,0.0,0.0,0.0,0.0
Background_Filter,1748368328.5966864,ctu,scenario8,Autoencoder,0.1,10675,5116,4136,570921,0.9843411503466204,0.9911186260604787,0.9928076695005886,0.9919624287851383,0.9924694004203368
RF_Single_Train-Class_Conditional,1748368348.854212,ctu,scenario8,Autoencoder,0.1,588877,745,9,1217,0.998723868067591,0.6202854230377166,0.9926590538336052,0.7634880803011292,0.8862510923390621
RF_Single_Train-Anomaly(with Normal),1748368349.0055695,ctu,scenario8,Autoencoder,0.1,589551,71,1226,0,0.9978048499783362,0.0,0.0,0.0,0.0
RF_Single_Train-Anomaly(with Botnet),1748368349.1529698,ctu,scenario8,Autoencoder,0.1,589039,583,1226,0,0.9969382988518197,0.0,0.0,0.0,0.0
RF_Single_Train-WithCorrelation,1748368352.2914717,ctu,scenario8,Autoencoder,0.1,588893,729,9,1217,0.9987509477902946,0.6253854059609455,0.9926590538336052,0.7673392181588903,0.8883211678832117
RF_Single_Train-WithRatio,1748368352.5524964,ctu,scenario8,Autoencoder,0.1,588609,1013,0,1226,0.9982855150563258,0.5475658776239393,1.0,0.7076479076479076,0.8581828363432731
RF_Single_Train-WithRatioAfterCorr,1748368352.8064883,ctu,scenario8,Autoencoder,0.1,588625,997,0,1226,0.9983125947790294,0.5515069725596041,1.0,0.7109307045520441,0.8601094429633787
Background_Filter,1748368597.324957,ctu,scenario9,Autoencoder,0.1,36787,6205,5566,368945,0.9718061906141992,0.9834599493535919,0.9851379532243378,0.9842982361360668,0.9848018945181332
RF_Single_Train-Class_Conditional,1748368655.7346222,ctu,scenario9,Autoencoder,0.1,374312,6193,2845,34153,0.9783522513610681,0.8465027512021018,0.9231039515649495,0.8831454282167976,0.9066943473967016
RF_Single_Train-Anomaly(with Normal),1748368655.8484418,ctu,scenario9,Autoencoder,0.1,379866,639,35521,1477,0.9133898439053133,0.6980151228733459,0.03992107681496297,0.07552283070000511,0.04919791083753031
RF_Single_Train-Anomaly(with Botnet),1748368655.9644048,ctu,scenario9,Autoencoder,0.1,378812,1693,36810,188,0.9077779081826957,0.09994683678894205,0.005081355748959403,0.009671030633503948,0.00627197694047627
RF_Single_Train-WithCorrelation,1748368661.1640275,ctu,scenario9,Autoencoder,0.1,374440,6065,2845,34153,0.9786588359844121,0.8491968770202397,0.9231039515649495,0.8846094073767095,0.9073109824132618
RF_Single_Train-WithRatio,1748368661.3752587,ctu,scenario9,Autoencoder,0.1,374251,6254,0,36998,0.9850204669188006,0.855405530380098,1.0,0.9220685358255452,0.9672983204701847
RF_Single_Train-WithRatioAfterCorr,1748368661.5608234,ctu,scenario9,Autoencoder,0.1,374379,6126,0,36998,0.9853270515421446,0.85794453204712,1.0,0.9235415990614313,0.9679461688189371
Background_Filter,1748368799.3448136,ctu,scenario10,Autoencoder,0.1,23169,1272,890,236629,0.99174683157734,0.9946532381116515,0.9962529313444398,0.995452442051239,0.9959325811863361
RF_Single_Train-Class_Conditional,1748368830.7126129,ctu,scenario10,Autoencoder,0.1,239663,1026,5,21266,0.9960642846236066,0.9539745200071774,0.999764938178741,0.9763331267359916,0.990258530770377
RF_Single_Train-Anomaly(with Normal),1748368830.7925572,ctu,scenario10,Autoencoder,0.1,240688,1,21151,120,0.9192548480684074,0.9917355371900827,0.0056414837102157864,0.011219147344801795,0.00704184026758993
RF_Single_Train-Anomaly(with Botnet),1748368830.8858647,ctu,scenario10,Autoencoder,0.1,239521,1168,21271,0,0.9143418842571385,0.0,0.0,0.0,0.0
RF_Single_Train-WithCorrelation,1748368833.2713737,ctu,scenario10,Autoencoder,0.1,239674,1015,5,21266,0.9961062757672927,0.9544454916745209,0.999764938178741,0.9765797207935342,0.9903599869603689
RF_Single_Train-WithRatio,1748368833.399057,ctu,scenario10,Autoencoder,0.1,239658,1031,0,21271,0.9960642846236066,0.9537709622455385,1.0,0.9763385582815046,0.9903991209282402
RF_Single_Train-WithRatioAfterCorr,1748368833.5104892,ctu,scenario10,Autoencoder,0.1,239669,1020,0,21271,0.9961062757672927,0.9542416221793549,1.0,0.9765850971029797,0.990500582072177
Background_Filter,1748368841.2052836,ctu,scenario11,Autoencoder,0.1,2146,31,29,19245,0.9972029276024428,0.9983917825274954,0.9984953823804088,0.998443579766537,0.9984746606898269
RF_Single_Train-Class_Conditional,1748368844.7037075,ctu,scenario11,Autoencoder,0.1,19817,1,0,1633,0.9999533821267074,0.9993880048959608,1.0,0.9996939087848179,0.999877541023757
RF_Single_Train-Anomaly(with Normal),1748368844.7134566,ctu,scenario11,Autoencoder,0.1,19818,0,1621,12,0.9244324273926623,1.0,0.007348438456827924,0.01458966565349544,0.009168704156479218
RF_Single_Train-Anomaly(with Botnet),1748368844.725467,ctu,scenario11,Autoencoder,0.1,19811,7,1633,0,0.9235466878001025,0.0,0.0,0.0,0.0
RF_Single_Train-WithCorrelation,1748368844.8824847,ctu,scenario11,Autoencoder,0.1,19818,0,0,1633,1.0,1.0,1.0,1.0,1.0
RF_Single_Train-WithRatio,1748368844.8942208,ctu,scenario11,Autoencoder,0.1,19817,1,0,1633,0.9999533821267074,0.9993880048959608,1.0,0.9996939087848179,0.999877541023757
RF_Single_Train-WithRatioAfterCorr,1748368844.909971,ctu,scenario11,Autoencoder,0.1,19818,0,0,1633,1.0,1.0,1.0,1.0,1.0
Background_Filter,1748368878.3545804,ctu,scenario12,Autoencoder,0.1,961,999,472,62663,0.9774022582379599,0.9843077503063051,0.9925239566009345,0.9883987791509263,0.9908697604695732
RF_Single_Train-Class_Conditional,1748368881.9964166,ctu,scenario12,Autoencoder,0.1,64594,67,68,366,0.9979261079960058,0.8452655889145496,0.8433179723502304,0.8442906574394463,0.8437067773167358
RF_Single_Train-Anomaly(with Normal),1748368882.017658,ctu,scenario12,Autoencoder,0.1,64651,10,372,62,0.9941316537368462,0.8611111111111112,0.14285714285714285,0.2450592885375494,0.17146017699115043
RF_Single_Train-Anomaly(with Botnet),1748368882.037418,ctu,scenario12,Autoencoder,0.1,64632,29,434,0,0.9928873185344497,0.0,0.0,0.0,0.0
RF_Single_Train-WithCorrelation,1748368882.598254,ctu,scenario12,Autoencoder,0.1,64617,44,69,365,0.9982640755818419,0.8924205378973105,0.8410138248847926,0.8659549228944247,0.8508158508158508
RF_Single_Train-WithRatio,1748368882.6192424,ctu,scenario12,Autoencoder,0.1,64591,70,8,426,0.9988017512865811,0.8588709677419355,0.9815668202764977,0.9161290322580645,0.9543010752688172
RF_Single_Train-WithRatioAfterCorr,1748368882.6510663,ctu,scenario12,Autoencoder,0.1,64614,47,9,425,0.9991397188724173,0.9004237288135594,0.9792626728110599,0.9381898454746137,0.9624094202898551
Background_Filter,1748369055.5890608,ctu,scenario13,Autoencoder,0.1,10451,3938,2284,368358,0.983840262212653,0.989422395083482,0.9938377194165798,0.991625142340276,0.992951504800352
RF_Single_Train-Class_Conditional,1748369084.7793345,ctu,scenario13,Autoencoder,0.1,374284,2746,354,7647,0.9919487002345265,0.7357837005676898,0.9557555305586801,0.8314667826465152,0.9018326768403425
RF_Single_Train-Anomaly(with Normal),1748369084.8687751,ctu,scenario13,Autoencoder,0.1,376837,193,7559,442,0.9798665561993709,0.6960629921259842,0.05524309461317335,0.10236220472440945,0.06771040779435644
RF_Single_Train-Anomaly(with Botnet),1748369084.97904,ctu,scenario13,Autoencoder,0.1,376898,132,8001,0,0.9788770254862595,0.0,0.0,0.0,0.0
RF_Single_Train-WithCorrelation,1748369089.4536204,ctu,scenario13,Autoencoder,0.1,374347,2683,354,7647,0.9921123234233088,0.74027105517909,0.9557555305586801,0.834324368555998,0.9031747531534936
RF_Single_Train-WithRatio,1748369089.6341894,ctu,scenario13,Autoencoder,0.1,374280,2750,0,8001,0.9928577179499832,0.7442098409450284,1.0,0.853348976109215,0.9356800374225237
RF_Single_Train-WithRatioAfterCorr,1748369089.7912579,ctu,scenario13,Autoencoder,0.1,374343,2687,0,8001,0.9930213411387655,0.7485965568862275,1.0,0.8562255872438332,0.9370608076454605
